arm,metric,label,unit,decision_orientation,streams,equal_scenario_mean,median_stream,q05_stream,q25_stream,q75_stream,q95_stream,min_scenario_mean,max_scenario_mean
CHAMPION-RESEED,mean_loss_2000,Mean prequential 0-1 loss,probability,lower,1120,0.23093928571428574,0.23925,0.1094875,0.1595,0.2953125,0.34199999999999997,0.10619062500000001,0.343378125
CHAMPION-RESEED,total_apw,Total deterministic work,APW_v1,lower,1120,65312542.93928571,65312540.5,65312531.0,65312533.0,65312552.0,65312560.0,65312531.525,65312553.50625
CHAMPION-RESEED,process_cpu_seconds,Arm process CPU time,seconds,lower,1120,12.432636079910713,11.73625075,9.424471050000001,10.768754875,14.300733,16.19951715,9.3009553125,15.138507293750001
CHAMPION-RESEED,elapsed_seconds,Arm elapsed time,seconds,lower,1120,11.686357510505356,11.130276562750002,8.641559144575,10.236786302625,13.402195522875001,15.1027377148,8.4273286267375,14.152179189175001
CHAMPION-RESEED,prediction_ns_per_prediction,Mean prediction time,nanoseconds per prediction,lower,1120,749.7653330357142,623.10825,411.9573125,593.8765625,659.812625,2291.669575,458.63877812500004,950.98274375
CHAMPION-RESEED,state_snapshot_mib,End-state snapshot size,MiB,lower,1120,3.091088109782764,3.0770020484924316,1.5452723979949952,2.0718947649002075,3.9913021326065063,4.832247734069823,1.537303626537323,4.425638407468796
CHAMPION-RESEED,provenance_mib,Provenance event bytes,MiB,lower,1120,287.5819321398224,278.5426335334778,188.24242770671844,222.2844409942627,347.7735421657562,413.38017358779905,187.47931358218193,372.17195338606837
CHAMPION-RESEED,adaptation_apw_total,Adaptation deterministic work,APW_v1,lower,1120,65312519.99375,65312520.0,65312520.0,65312520.0,65312520.0,65312520.0,65312519.98125,65312520.0
CHAMPION-RESEED,construction_apw_total,Treatment construction work,APW_v1,lower,1120,22.945535714285715,20.5,11.0,13.0,32.0,40.0,11.525,33.525
CHAMPION-RESEED,provenance_event_count,Provenance event count,events,lower,1120,431005.19866071426,414371.0,285399.75,336646.25,520982.5,611899.075,283149.725,545150.725
CHAMPION-RESEED,peak_rss_mib,Reported shared-process lifetime peak RSS,MiB,context only,1120,388.28323102678576,386.787109375,292.025390625,321.97607421875,440.83642578125,499.96328124999997,315.0625,457.870458984375
POPULATION-RESEED,mean_loss_2000,Mean prequential 0-1 loss,probability,lower,1120,0.23129486607142855,0.24162499999999998,0.1085,0.16043749999999998,0.2913125,0.34229999999999994,0.105528125,0.34228125
POPULATION-RESEED,total_apw,Total deterministic work,APW_v1,lower,1120,65315909.743303575,65315407.5,65314148.0,65314428.75,65317364.25,65318258.7,65314163.95,65317510.5875
POPULATION-RESEED,process_cpu_seconds,Arm process CPU time,seconds,lower,1120,12.343092984375003,11.4441565,9.401219125,10.48269975,14.4238055,16.33982275,9.34511048125,15.2865120625
POPULATION-RESEED,elapsed_seconds,Arm elapsed time,seconds,lower,1120,11.594920570779019,10.86629285775,8.61205312815,9.962784568375,13.508096649375,15.150654019625,8.4625971199375,14.27278035935625
POPULATION-RESEED,prediction_ns_per_prediction,Mean prediction time,nanoseconds per prediction,lower,1120,681.9508647321428,607.372875,403.9174625,580.7899375,640.012875,721.8603749999999,466.55891875,884.6758125
POPULATION-RESEED,state_snapshot_mib,End-state snapshot size,MiB,lower,1120,3.21216648391315,3.105928659439087,1.5190680027008057,2.1032135486602783,4.213344216346741,5.097841835021972,1.4937250137329101,4.660226571559906
POPULATION-RESEED,provenance_mib,Provenance event bytes,MiB,lower,1120,285.4279248016221,272.4521985054016,178.69341094493865,212.60535037517548,352.67316567897797,413.8325574874878,179.3230136990547,374.5211795449257
POPULATION-RESEED,adaptation_apw_total,Adaptation deterministic work,APW_v1,lower,1120,65312519.99419642,65312520.0,65312520.0,65312520.0,65312520.0,65312520.0,65312519.975,65312520.0
POPULATION-RESEED,construction_apw_total,Treatment construction work,APW_v1,lower,1120,3389.749107142857,2887.5,1628.0,1908.75,4844.25,5738.699999999999,1643.95,4990.6
POPULATION-RESEED,provenance_event_count,Provenance event count,events,lower,1120,417461.8790178571,400980.5,263395.175,314549.5,515874.5,599354.7999999999,263716.175,535206.675
POPULATION-RESEED,peak_rss_mib,Reported shared-process lifetime peak RSS,MiB,context only,1120,399.22303641183044,394.453125,301.24541015625,333.2861328125,451.56005859375,530.0849609375,323.2715576171875,472.325634765625
PERSIST,mean_loss_2000,Mean prequential 0-1 loss,probability,lower,1120,0.23152209821428574,0.24062499999999998,0.10875,0.16025,0.2925,0.34231249999999996,0.10558750000000001,0.342984375
PERSIST,total_apw,Total deterministic work,APW_v1,lower,1120,65312519.990625,65312520.0,65312520.0,65312520.0,65312520.0,65312520.0,65312519.975,65312520.0
PERSIST,process_cpu_seconds,Arm process CPU time,seconds,lower,1120,12.116824470089284,11.38111575,9.236128025000001,10.359050875000001,14.043143,16.0031175,9.14692414375,14.86930278125
PERSIST,elapsed_seconds,Arm elapsed time,seconds,lower,1120,11.329562647962947,10.721963923,8.469366883725,9.773561425125001,13.10681398525,14.853212527924999,8.24604259705,13.8318288763875
PERSIST,prediction_ns_per_prediction,Mean prediction time,nanoseconds per prediction,lower,1120,722.3071763392858,642.019125,428.31025,604.05025,680.486,775.27485,484.735990625,873.5704874999999
PERSIST,state_snapshot_mib,End-state snapshot size,MiB,lower,1120,2.7915870317390987,2.744734525680542,1.3200309991836547,1.8367661237716675,3.6750720739364624,4.459046936035156,1.302370446920395,3.949722170829773
PERSIST,provenance_mib,Provenance event bytes,MiB,lower,1120,239.38716620249411,233.53391695022583,148.8507281780243,178.52818143367767,293.90968549251556,348.92262103557584,149.18691903352737,311.29508917331697
PERSIST,adaptation_apw_total,Adaptation deterministic work,APW_v1,lower,1120,65312519.990625,65312520.0,65312520.0,65312520.0,65312520.0,65312520.0,65312519.975,65312520.0
PERSIST,construction_apw_total,Treatment construction work,APW_v1,lower,1120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PERSIST,provenance_event_count,Provenance event count,events,lower,1120,407764.16607142857,393885.5,258307.35,306492.25,500356.125,590485.375,258248.43125,521931.61875
PERSIST,peak_rss_mib,Reported shared-process lifetime peak RSS,MiB,context only,1120,374.19098249162954,377.0927734375,281.35654296875,308.55517578125,425.24951171875,484.46230468749997,303.7506591796875,440.706884765625
