left,right,sign,metric,unit,estimate,se,percentile_95_lo,percentile_95_hi,simultaneous_95_lo,simultaneous_95_hi,simultaneous_direction,simultaneous_family_size,critical_abs_t,B,seed_uint64,scope
CHAMPION-RESEED,POPULATION-RESEED,left_minus_right,total_apw,APW_v1,-3366.8040178571428,14.795080077118982,-3395.892433035714,-3338.568236607143,-3408.3518366122835,-3325.256199102002,LEFT_LOWER,18,2.808218579323239,9999,8083117587755875308,exploratory_decision_economic_uncertainty_not_new_confirmatory_family
CHAMPION-RESEED,POPULATION-RESEED,left_minus_right,process_cpu_seconds,seconds,0.08954309553571434,0.021166923785106043,0.04740808857142865,0.13004648928571433,0.030101746895260573,0.1489844441761681,RIGHT_LOWER,18,2.808218579323239,9999,8083117587755875308,exploratory_decision_economic_uncertainty_not_new_confirmatory_family
CHAMPION-RESEED,POPULATION-RESEED,left_minus_right,elapsed_seconds,seconds,0.09143693972633926,0.018898649111221872,0.053683073156182995,0.1277082356860937,0.038365402168095385,0.14450847728458313,RIGHT_LOWER,18,2.808218579323239,9999,8083117587755875308,exploratory_decision_economic_uncertainty_not_new_confirmatory_family
CHAMPION-RESEED,POPULATION-RESEED,left_minus_right,prediction_ns_per_prediction,nanoseconds per prediction,67.8144683035714,22.1973922605655,25.85694505580357,111.66963488839285,5.479338944925495,130.1495976622173,RIGHT_LOWER,18,2.808218579323239,9999,8083117587755875308,exploratory_decision_economic_uncertainty_not_new_confirmatory_family
CHAMPION-RESEED,POPULATION-RESEED,left_minus_right,state_snapshot_mib,MiB,-0.12107837413038526,0.015787558581383206,-0.15159917216215812,-0.0902805286007268,-0.1654132894607796,-0.07674345879999091,LEFT_LOWER,18,2.808218579323239,9999,8083117587755875308,exploratory_decision_economic_uncertainty_not_new_confirmatory_family
CHAMPION-RESEED,POPULATION-RESEED,left_minus_right,provenance_mib,MiB,2.154007338200297,0.7876042027918713,0.6457194011764874,3.684095133457861,-0.05775741723290384,4.365772093633498,UNRESOLVED,18,2.808218579323239,9999,8083117587755875308,exploratory_decision_economic_uncertainty_not_new_confirmatory_family
POPULATION-RESEED,PERSIST,left_minus_right,total_apw,APW_v1,3389.7526785714285,14.885797350730309,3361.3402455357145,3419.0533482142864,3347.950105883067,3431.55525125979,RIGHT_LOWER,18,2.808218579323239,9999,8083117587755875308,exploratory_decision_economic_uncertainty_not_new_confirmatory_family
POPULATION-RESEED,PERSIST,left_minus_right,process_cpu_seconds,seconds,0.2262685142857143,0.01765353595087645,0.19193744100446417,0.26043746812499996,0.17669352663771232,0.27584350193371626,RIGHT_LOWER,18,2.808218579323239,9999,8083117587755875308,exploratory_decision_economic_uncertainty_not_new_confirmatory_family
POPULATION-RESEED,PERSIST,left_minus_right,elapsed_seconds,seconds,0.2653579228160714,0.015998108687251777,0.23453064488323658,0.2964128398691964,0.22043173676649847,0.31028410886564434,RIGHT_LOWER,18,2.808218579323239,9999,8083117587755875308,exploratory_decision_economic_uncertainty_not_new_confirmatory_family
POPULATION-RESEED,PERSIST,left_minus_right,prediction_ns_per_prediction,nanoseconds per prediction,-40.35631160714284,19.992138658317955,-79.00782650669643,-0.889272712053651,-96.49860682783769,15.785983613552006,UNRESOLVED,18,2.808218579323239,9999,8083117587755875308,exploratory_decision_economic_uncertainty_not_new_confirmatory_family
POPULATION-RESEED,PERSIST,left_minus_right,state_snapshot_mib,MiB,0.4205794521740505,0.014113084538987278,0.3928958636735167,0.44854134236063276,0.38094682596010687,0.46021207838799416,RIGHT_LOWER,18,2.808218579323239,9999,8083117587755875308,exploratory_decision_economic_uncertainty_not_new_confirmatory_family
POPULATION-RESEED,PERSIST,left_minus_right,provenance_mib,MiB,46.04075859912804,0.5776641427104495,44.90732264878495,47.17570455576692,44.41855142095972,47.66296577729636,RIGHT_LOWER,18,2.808218579323239,9999,8083117587755875308,exploratory_decision_economic_uncertainty_not_new_confirmatory_family
CHAMPION-RESEED,PERSIST,left_minus_right,total_apw,APW_v1,22.94866071428572,0.1186895125795742,22.719642857142862,23.174575892857142,22.61535461988894,23.281966808682498,RIGHT_LOWER,18,2.808218579323239,9999,8083117587755875308,exploratory_decision_economic_uncertainty_not_new_confirmatory_family
CHAMPION-RESEED,PERSIST,left_minus_right,process_cpu_seconds,seconds,0.31581160982142853,0.020508236205937596,0.27583846792410716,0.35558521504464274,0.25821999987876504,0.373403219764092,RIGHT_LOWER,18,2.808218579323239,9999,8083117587755875308,exploratory_decision_economic_uncertainty_not_new_confirmatory_family
CHAMPION-RESEED,PERSIST,left_minus_right,elapsed_seconds,seconds,0.3567948625424106,0.018295209016872805,0.3210206620720981,0.3920361206494195,0.30541791666862633,0.4081718084161949,RIGHT_LOWER,18,2.808218579323239,9999,8083117587755875308,exploratory_decision_economic_uncertainty_not_new_confirmatory_family
CHAMPION-RESEED,PERSIST,left_minus_right,prediction_ns_per_prediction,nanoseconds per prediction,27.458156696428567,22.101684098911534,-14.966226026785712,71.68304138392851,-34.6082032244678,89.52451661732493,UNRESOLVED,18,2.808218579323239,9999,8083117587755875308,exploratory_decision_economic_uncertainty_not_new_confirmatory_family
CHAMPION-RESEED,PERSIST,left_minus_right,state_snapshot_mib,MiB,0.29950107804366516,0.015611220412744039,0.2689259790948459,0.3304997924183097,0.25566135883468716,0.34334079725264316,RIGHT_LOWER,18,2.808218579323239,9999,8083117587755875308,exploratory_decision_economic_uncertainty_not_new_confirmatory_family
CHAMPION-RESEED,PERSIST,left_minus_right,provenance_mib,MiB,48.194765937328334,0.734340930277812,46.75514272674918,49.63182381623557,46.13257609336467,50.256955781292,RIGHT_LOWER,18,2.808218579323239,9999,8083117587755875308,exploratory_decision_economic_uncertainty_not_new_confirmatory_family
