metric,arm,equal_share_win_rate,strict_min_rate
elapsed_seconds,CHAMPION-RESEED,0.17589285714285716,0.17589285714285716
elapsed_seconds,PERSIST,0.6053571428571428,0.6053571428571428
elapsed_seconds,POPULATION-RESEED,0.21875,0.21875
prediction_ns_per_prediction,CHAMPION-RESEED,0.27767857142857144,0.27767857142857144
prediction_ns_per_prediction,PERSIST,0.09196428571428572,0.09196428571428572
prediction_ns_per_prediction,POPULATION-RESEED,0.6303571428571428,0.6303571428571428
process_cpu_seconds,CHAMPION-RESEED,0.20357142857142857,0.20357142857142857
process_cpu_seconds,PERSIST,0.5348214285714286,0.5348214285714286
process_cpu_seconds,POPULATION-RESEED,0.26160714285714287,0.26160714285714287
provenance_mib,CHAMPION-RESEED,0.022321428571428572,0.022321428571428572
provenance_mib,PERSIST,0.9642857142857143,0.9642857142857143
provenance_mib,POPULATION-RESEED,0.013392857142857142,0.013392857142857142
state_snapshot_mib,CHAMPION-RESEED,0.20089285714285715,0.20089285714285715
state_snapshot_mib,PERSIST,0.7089285714285715,0.7089285714285715
state_snapshot_mib,POPULATION-RESEED,0.09017857142857143,0.09017857142857143
total_apw,CHAMPION-RESEED,0.0,0.0
total_apw,PERSIST,1.0,1.0
total_apw,POPULATION-RESEED,0.0,0.0
