left,right,objective_difference,loss_difference,metric,resource_difference_left_minus_right,resource_unit,single_axis_shadow_price_threshold_loss_units_per_resource_unit,status,decision_rule,money_interpretation_permitted
CHAMPION-RESEED,POPULATION-RESEED,J(left)-J(right),-0.00035558035714286507,total_apw,-3366.8040178641677,APW_v1,,NO_POSITIVE_SINGLE_AXIS_BREAK_EVEN,left preferred when loss_difference + lambda*resource_difference < 0,False
CHAMPION-RESEED,POPULATION-RESEED,J(left)-J(right),-0.00035558035714286507,process_cpu_seconds,0.08954309553570994,seconds,0.003971052765325262,POSITIVE_SINGLE_AXIS_BREAK_EVEN,left preferred when loss_difference + lambda*resource_difference < 0,False
CHAMPION-RESEED,POPULATION-RESEED,J(left)-J(right),-0.00035558035714286507,elapsed_seconds,0.09143693972633749,seconds,0.0038888042207786593,POSITIVE_SINGLE_AXIS_BREAK_EVEN,left preferred when loss_difference + lambda*resource_difference < 0,False
CHAMPION-RESEED,POPULATION-RESEED,J(left)-J(right),-0.00035558035714286507,prediction_ns_per_prediction,67.8144683035714,nanoseconds per prediction,5.243429109421163e-06,POSITIVE_SINGLE_AXIS_BREAK_EVEN,left preferred when loss_difference + lambda*resource_difference < 0,False
CHAMPION-RESEED,POPULATION-RESEED,J(left)-J(right),-0.00035558035714286507,state_snapshot_mib,-0.12107837413038602,MiB,,NO_POSITIVE_SINGLE_AXIS_BREAK_EVEN,left preferred when loss_difference + lambda*resource_difference < 0,False
CHAMPION-RESEED,POPULATION-RESEED,J(left)-J(right),-0.00035558035714286507,provenance_mib,2.1540073382003015,MiB,0.0001650785263526338,POSITIVE_SINGLE_AXIS_BREAK_EVEN,left preferred when loss_difference + lambda*resource_difference < 0,False
POPULATION-RESEED,PERSIST,J(left)-J(right),-0.00022723214285713667,total_apw,3389.7526785731316,APW_v1,6.703502125493912e-08,POSITIVE_SINGLE_AXIS_BREAK_EVEN,left preferred when loss_difference + lambda*resource_difference < 0,False
POPULATION-RESEED,PERSIST,J(left)-J(right),-0.00022723214285713667,process_cpu_seconds,0.22626851428571904,seconds,0.0010042587833064606,POSITIVE_SINGLE_AXIS_BREAK_EVEN,left preferred when loss_difference + lambda*resource_difference < 0,False
POPULATION-RESEED,PERSIST,J(left)-J(right),-0.00022723214285713667,elapsed_seconds,0.2653579228160723,seconds,0.0008563231896212808,POSITIVE_SINGLE_AXIS_BREAK_EVEN,left preferred when loss_difference + lambda*resource_difference < 0,False
POPULATION-RESEED,PERSIST,J(left)-J(right),-0.00022723214285713667,prediction_ns_per_prediction,-40.35631160714297,nanoseconds per prediction,,NO_POSITIVE_SINGLE_AXIS_BREAK_EVEN,left preferred when loss_difference + lambda*resource_difference < 0,False
POPULATION-RESEED,PERSIST,J(left)-J(right),-0.00022723214285713667,state_snapshot_mib,0.4205794521740511,MiB,0.0005402835104818666,POSITIVE_SINGLE_AXIS_BREAK_EVEN,left preferred when loss_difference + lambda*resource_difference < 0,False
POPULATION-RESEED,PERSIST,J(left)-J(right),-0.00022723214285713667,provenance_mib,46.040758599128,MiB,4.935456099575223e-06,POSITIVE_SINGLE_AXIS_BREAK_EVEN,left preferred when loss_difference + lambda*resource_difference < 0,False
CHAMPION-RESEED,PERSIST,J(left)-J(right),-0.0005828125000000017,total_apw,22.94866070896387,APW_v1,2.5396362227463324e-05,POSITIVE_SINGLE_AXIS_BREAK_EVEN,left preferred when loss_difference + lambda*resource_difference < 0,False
CHAMPION-RESEED,PERSIST,J(left)-J(right),-0.0005828125000000017,process_cpu_seconds,0.315811609821429,seconds,0.0018454435551927444,POSITIVE_SINGLE_AXIS_BREAK_EVEN,left preferred when loss_difference + lambda*resource_difference < 0,False
CHAMPION-RESEED,PERSIST,J(left)-J(right),-0.0005828125000000017,elapsed_seconds,0.3567948625424098,seconds,0.0016334666251836146,POSITIVE_SINGLE_AXIS_BREAK_EVEN,left preferred when loss_difference + lambda*resource_difference < 0,False
CHAMPION-RESEED,PERSIST,J(left)-J(right),-0.0005828125000000017,prediction_ns_per_prediction,27.458156696428432,nanoseconds per prediction,2.1225477967929654e-05,POSITIVE_SINGLE_AXIS_BREAK_EVEN,left preferred when loss_difference + lambda*resource_difference < 0,False
CHAMPION-RESEED,PERSIST,J(left)-J(right),-0.0005828125000000017,state_snapshot_mib,0.2995010780436651,MiB,0.0019459445815918962,POSITIVE_SINGLE_AXIS_BREAK_EVEN,left preferred when loss_difference + lambda*resource_difference < 0,False
CHAMPION-RESEED,PERSIST,J(left)-J(right),-0.0005828125000000017,provenance_mib,48.1947659373283,MiB,1.2092858812881916e-05,POSITIVE_SINGLE_AXIS_BREAK_EVEN,left preferred when loss_difference + lambda*resource_difference < 0,False
