global_schedule_index,segment,scenario_id,realisation,source_key_hex,arm,mean_loss_2000,adaptation_apw_total,construction_apw_total,prediction_time_ns_total,state_snapshot_bytes,provenance_event_bytes,provenance_event_count,total_apw,process_cpu_ns_total,elapsed_ns_total,process_cpu_seconds,elapsed_seconds,prediction_ns_per_prediction,peak_rss_bytes,peak_rss_mib,state_snapshot_mib,provenance_mib
0,R4,LOCAL_TREE-ABRUPT-MILD,0,8f2ae83afa1a570d,CHAMPION-RESEED,0.14300000000000002,65312520.0,15.0,1242660.5,3058410.0,273625273.5,402703.5,65312535.0,12121946500.0,11525086822.5,12.1219465,11.5250868225,621.33025,333912064.0,318.443359375,2.916727066040039,260.9493956565857
0,R4,LOCAL_TREE-ABRUPT-MILD,0,8f2ae83afa1a570d,PERSIST,0.16,65312520.0,0.0,1183597.0,1780657.0,183949137.5,311190.0,65312520.0,10592037000.0,10134515336.5,10.592037,10.1345153365,591.7985,327931904.0,312.740234375,1.698166847229004,175.4275679588318
0,R4,LOCAL_TREE-ABRUPT-MILD,0,8f2ae83afa1a570d,POPULATION-RESEED,0.15400000000000003,65312520.0,1961.0,1202349.5,2892279.0,270730955.5,389266.5,65314481.0,11834876500.0,11312556690.5,11.8348765,11.3125566905,601.17475,340498432.0,324.724609375,2.7582921981811523,258.1891589164734
1,R4,LOCAL_TREE-ABRUPT-MILD,1,cb3b07306b3d2e5e,CHAMPION-RESEED,0.14200000000000002,65312520.0,12.0,1222055.5,2211330.0,227166904.0,338265.5,65312532.0,11324272500.0,10686992380.0,11.3242725,10.68699238,611.02775,376750080.0,359.296875,2.108888626098633,216.64324188232422
1,R4,LOCAL_TREE-ABRUPT-MILD,1,cb3b07306b3d2e5e,PERSIST,0.14200000000000002,65312520.0,0.0,1304996.5,1582599.5,172988350.5,294067.0,65312520.0,10621256500.0,9962073955.0,10.6212565,9.962073955,652.49825,360310784.0,343.619140625,1.509284496307373,164.97454690933228
1,R4,LOCAL_TREE-ABRUPT-MILD,1,cb3b07306b3d2e5e,POPULATION-RESEED,0.13224999999999998,65312520.0,1768.0,6764433.0,2383090.5,224397283.0,325950.0,65314288.0,11172271500.0,10555081828.0,11.1722715,10.555081828,3382.2165,376750080.0,359.296875,2.2726922035217285,214.00192546844482
2,R4,LOCAL_TREE-ABRUPT-MILD,2,3fbfaf24ffcac63f,CHAMPION-RESEED,0.161,65312520.0,14.0,1343929.5,2807128.5,265781828.0,392326.0,65312534.0,12205602000.0,11551138255.5,12.205602,11.5511382555,671.96475,307150848.0,292.921875,2.677086353302002,253.46930313110352
2,R4,LOCAL_TREE-ABRUPT-MILD,2,3fbfaf24ffcac63f,PERSIST,0.1665,65312520.0,0.0,1269654.0,1710767.5,179143833.5,305463.0,65312520.0,10666966000.0,10083043802.5,10.666966,10.0830438025,634.827,294520832.0,280.876953125,1.6315150260925293,170.84487295150757
2,R4,LOCAL_TREE-ABRUPT-MILD,2,3fbfaf24ffcac63f,POPULATION-RESEED,0.1645,65312520.0,1936.0,1187031.5,2151634.5,228189009.5,331211.5,65314456.0,11356766000.0,10731329258.5,11.356766,10.7313292585,593.51575,309876736.0,295.521484375,2.0519585609436035,217.6179976463318
3,R4,LOCAL_TREE-ABRUPT-MILD,3,4a095eb338e9fc87,CHAMPION-RESEED,0.158,65312520.0,13.0,1174594.5,2101103.0,241323487.0,358768.0,65312533.0,11408889000.0,10901176649.5,11.408889,10.9011766495,587.29725,366569472.0,349.587890625,2.003767967224121,230.14401149749756
