panel,metric,unit,contrast,estimate,simultaneous_95_lo,simultaneous_95_hi,direction,display_status
A,total_apw,APW_v1,CHAMPION-RESEED minus PERSIST,22.94866071428572,22.61535461988894,23.281966808682498,RIGHT_LOWER,supported
A,total_apw,APW_v1,POPULATION-RESEED minus PERSIST,3389.7526785714285,3347.950105883067,3431.55525125979,RIGHT_LOWER,supported
B,process_cpu_seconds,seconds,CHAMPION-RESEED minus PERSIST,0.3158116098214285,0.258219999878765,0.373403219764092,RIGHT_LOWER,supported
B,process_cpu_seconds,seconds,POPULATION-RESEED minus PERSIST,0.2262685142857143,0.1766935266377123,0.2758435019337162,RIGHT_LOWER,supported
C,elapsed_seconds,seconds,CHAMPION-RESEED minus PERSIST,0.3567948625424106,0.3054179166686263,0.4081718084161949,RIGHT_LOWER,supported
C,elapsed_seconds,seconds,POPULATION-RESEED minus PERSIST,0.2653579228160714,0.2204317367664984,0.3102841088656443,RIGHT_LOWER,supported
D,prediction_ns_per_prediction,nanoseconds per prediction,CHAMPION-RESEED minus PERSIST,27.458156696428567,-34.6082032244678,89.52451661732493,UNRESOLVED,unresolved
D,prediction_ns_per_prediction,nanoseconds per prediction,POPULATION-RESEED minus PERSIST,-40.35631160714284,-96.49860682783768,15.785983613552006,UNRESOLVED,unresolved
E,state_snapshot_mib,MiB,CHAMPION-RESEED minus PERSIST,0.2995010780436651,0.2556613588346871,0.3433407972526431,RIGHT_LOWER,supported
E,state_snapshot_mib,MiB,POPULATION-RESEED minus PERSIST,0.4205794521740505,0.3809468259601068,0.4602120783879941,RIGHT_LOWER,supported
F,provenance_mib,MiB,CHAMPION-RESEED minus PERSIST,48.194765937328334,46.13257609336467,50.256955781292,RIGHT_LOWER,supported
F,provenance_mib,MiB,POPULATION-RESEED minus PERSIST,46.04075859912804,44.41855142095972,47.66296577729636,RIGHT_LOWER,supported
