panel,scope,profile,arm,equal_scenario_feasibility
A,joint_all_six,Q50,CHAMPION-RESEED,0.2544642857142857
A,joint_all_six,Q75,CHAMPION-RESEED,0.5142857142857143
A,joint_all_six,Q90,CHAMPION-RESEED,0.7517857142857142
A,joint_all_six,Q95,CHAMPION-RESEED,0.8508928571428571
A,joint_all_six,Q50,POPULATION-RESEED,0.0
A,joint_all_six,Q75,POPULATION-RESEED,0.2348214285714285
A,joint_all_six,Q90,POPULATION-RESEED,0.6383928571428573
A,joint_all_six,Q95,POPULATION-RESEED,0.7875000000000002
A,joint_all_six,Q50,PERSIST,0.2482142857142857
A,joint_all_six,Q75,PERSIST,0.5428571428571428
A,joint_all_six,Q90,PERSIST,0.7991071428571427
A,joint_all_six,Q95,PERSIST,0.9080357142857144
B,joint_five_non_latency,Q50,CHAMPION-RESEED,0.3616071428571428
B,joint_five_non_latency,Q75,CHAMPION-RESEED,0.6285714285714284
B,joint_five_non_latency,Q90,CHAMPION-RESEED,0.8321428571428571
B,joint_five_non_latency,Q95,CHAMPION-RESEED,0.911607142857143
B,joint_five_non_latency,Q50,POPULATION-RESEED,0.0
B,joint_five_non_latency,Q75,POPULATION-RESEED,0.2491071428571428
B,joint_five_non_latency,Q90,POPULATION-RESEED,0.675
B,joint_five_non_latency,Q95,POPULATION-RESEED,0.8178571428571427
B,joint_five_non_latency,Q50,PERSIST,0.4348214285714286
B,joint_five_non_latency,Q75,PERSIST,0.7258928571428571
B,joint_five_non_latency,Q90,PERSIST,0.9071428571428573
B,joint_five_non_latency,Q95,PERSIST,0.9508928571428572
