scenario_id	realisation	source_address	source_key_hex	optimizer_address	optimizer_key_hex
LOCAL_TREE-ABRUPT-MILD	0	DT-I05-NST-v1|EXT|SOURCE|scenario=LOCAL_TREE-ABRUPT-MILD|r=000	8f2ae83afa1a570d	DT-I05-NST-v1|EXT|OPTIMISER|stream=8f2ae83afa1a570d	a5657c24180b5bd4
LOCAL_TREE-ABRUPT-MILD	1	DT-I05-NST-v1|EXT|SOURCE|scenario=LOCAL_TREE-ABRUPT-MILD|r=001	cb3b07306b3d2e5e	DT-I05-NST-v1|EXT|OPTIMISER|stream=cb3b07306b3d2e5e	b87f437825e3c1f9
LOCAL_TREE-ABRUPT-MILD	2	DT-I05-NST-v1|EXT|SOURCE|scenario=LOCAL_TREE-ABRUPT-MILD|r=002	3fbfaf24ffcac63f	DT-I05-NST-v1|EXT|OPTIMISER|stream=3fbfaf24ffcac63f	42e904183f592895
LOCAL_TREE-ABRUPT-MILD	3	DT-I05-NST-v1|EXT|SOURCE|scenario=LOCAL_TREE-ABRUPT-MILD|r=003	4a095eb338e9fc87	DT-I05-NST-v1|EXT|OPTIMISER|stream=4a095eb338e9fc87	f3beeb56c85850d2
LOCAL_TREE-ABRUPT-MILD	4	DT-I05-NST-v1|EXT|SOURCE|scenario=LOCAL_TREE-ABRUPT-MILD|r=004	c80c51e322fb43ad	DT-I05-NST-v1|EXT|OPTIMISER|stream=c80c51e322fb43ad	72b42b7e11e11886
LOCAL_TREE-ABRUPT-MILD	5	DT-I05-NST-v1|EXT|SOURCE|scenario=LOCAL_TREE-ABRUPT-MILD|r=005	8f6c8c9e68efedf0	DT-I05-NST-v1|EXT|OPTIMISER|stream=8f6c8c9e68efedf0	be8cdceb5ac0de2c
LOCAL_TREE-ABRUPT-MILD	6	DT-I05-NST-v1|EXT|SOURCE|scenario=LOCAL_TREE-ABRUPT-MILD|r=006	710575c1949242da	DT-I05-NST-v1|EXT|OPTIMISER|stream=710575c1949242da	ee88e7d314029316
LOCAL_TREE-ABRUPT-MILD	7	DT-I05-NST-v1|EXT|SOURCE|scenario=LOCAL_TREE-ABRUPT-MILD|r=007	1531ad51d956ace2	DT-I05-NST-v1|EXT|OPTIMISER|stream=1531ad51d956ace2	fd875fed17d44f34
LOCAL_TREE-ABRUPT-MILD	8	DT-I05-NST-v1|EXT|SOURCE|scenario=LOCAL_TREE-ABRUPT-MILD|r=008	be4e11ae2f5392a7	DT-I05-NST-v1|EXT|OPTIMISER|stream=be4e11ae2f5392a7	c2f4a6f405da8484
LOCAL_TREE-ABRUPT-MILD	9	DT-I05-NST-v1|EXT|SOURCE|scenario=LOCAL_TREE-ABRUPT-MILD|r=009	383e433a91be0ac9	DT-I05-NST-v1|EXT|OPTIMISER|stream=383e433a91be0ac9	64bf56142e2f8b6c
LOCAL_TREE-ABRUPT-MILD	10	DT-I05-NST-v1|EXT|SOURCE|scenario=LOCAL_TREE-ABRUPT-MILD|r=010	d188b7b49d9a3543	DT-I05-NST-v1|EXT|OPTIMISER|stream=d188b7b49d9a3543	ca30aec82bad0547
LOCAL_TREE-ABRUPT-MILD	11	DT-I05-NST-v1|EXT|SOURCE|scenario=LOCAL_TREE-ABRUPT-MILD|r=011	a064395a75d0d984	DT-I05-NST-v1|EXT|OPTIMISER|stream=a064395a75d0d984	4c58737359485f70
